outcome,modality,estimate,CI,SE,t,df,p,effect
csf,thermal,0.019,"[-0.059, 0.096]",0.039,0.48,207.3,0.633,Placebo
csf,mechanical,0.141,"[ 0.053, 0.228]",0.044,3.18,218.5,0.002,Stim level
csf,mechanical,0.063,"[-0.011, 0.138]",0.038,1.67,271.2,0.096,Placebo
gray_matter,thermal,0.041,"[-0.044, 0.125]",0.043,0.95,610.7,0.344,Stim level
gray_matter,thermal,0.04,"[-0.031,  0.11]",0.036,1.11,222.8,0.267,Placebo
gray_matter,mechanical,0.101,"[ 0.021, 0.181]",0.041,2.47,517.6,0.014,Stim level
gray_matter,mechanical,0.135,"[ 0.062, 0.209]",0.037,3.63,446.2,0,Placebo
nps,thermal,0.245,"[ 0.165, 0.325]",0.041,6,644.5,0,Stim level
nps,thermal,-0.03,"[-0.101, 0.041]",0.036,-0.83,225.9,0.408,Placebo
nps,mechanical,0.164,"[ 0.084, 0.244]",0.041,4.02,804.1,0,Stim level
nps,mechanical,0.008,"[-0.064, 0.081]",0.037,0.23,308.7,0.822,Placebo
pain_pathways_Thal_MD,thermal,0.064,"[-0.016, 0.144]",0.041,1.58,537.2,0.115,Stim level
pain_pathways_Thal_MD,thermal,0.016,"[ -0.06, 0.091]",0.038,0.41,364.1,0.685,Placebo
pain_pathways_Thal_MD,mechanical,0.077,"[-0.003, 0.158]",0.041,1.9,498,0.058,Stim level
pain_pathways_Thal_MD,mechanical,0.142,"[ 0.069, 0.215]",0.037,3.81,472.3,0,Placebo
pain_pathways_Thal_VPLM_L,thermal,0.059,"[-0.016, 0.134]",0.038,1.55,1056,0.121,Stim level
pain_pathways_Thal_VPLM_L,thermal,0.061,"[-0.015, 0.136]",0.038,1.59,223.9,0.114,Placebo
pain_pathways_Thal_VPLM_L,mechanical,0.019,"[-0.062, 0.101]",0.041,0.47,341.7,0.637,Stim level
pain_pathways_Thal_VPLM_L,mechanical,0.153,"[ 0.082, 0.225]",0.036,4.2,329.3,0,Placebo
pain_pathways_Thal_VPLM_R,thermal,0.076,"[-0.007, 0.159]",0.042,1.81,675.7,0.072,Stim level
pain_pathways_Thal_VPLM_R,thermal,0.047,"[-0.024, 0.119]",0.036,1.31,199.5,0.193,Placebo
pain_pathways_Thal_VPLM_R,mechanical,0.038,"[-0.042, 0.118]",0.041,0.94,1076.3,0.35,Stim level
