outcome,modality,estimate,CI,SE,t,df,p,effect
csf,thermal,0.004,"[ -0.012,  0.019]",0.008,0.48,207.3,0.633,Placebo
csf,mechanical,0.033,"[ 0.013,  0.054]",0.01,3.18,218.5,0.002,Stim level
csf,mechanical,0.015,"[ -0.003,  0.033]",0.009,1.67,271.2,0.096,Placebo
gray_matter,thermal,0.011,"[-0.011,  0.032]",0.011,0.95,610.7,0.344,Stim level
gray_matter,thermal,0.01,"[ -0.008,  0.028]",0.009,1.11,222.8,0.267,Placebo
gray_matter,mechanical,0.029,"[ 0.006,  0.052]",0.012,2.47,517.6,0.014,Stim level
gray_matter,mechanical,0.039,"[  0.018,   0.06]",0.011,3.63,446.2,0,Placebo
nps,thermal,1.157,"[ 0.778,  1.536]",0.193,6,644.5,0,Stim level
nps,thermal,-0.141,"[ -0.476,  0.194]",0.17,-0.83,225.9,0.408,Placebo
nps,mechanical,0.816,"[ 0.417,  1.214]",0.203,4.02,804.1,0,Stim level
nps,mechanical,0.042,"[  -0.32,  0.403]",0.184,0.23,308.7,0.822,Placebo
pain_pathways_Thal_MD,thermal,0.033,"[-0.008,  0.074]",0.021,1.58,537.2,0.115,Stim level
pain_pathways_Thal_MD,thermal,0.008,"[ -0.031,  0.047]",0.02,0.41,364.1,0.685,Placebo
pain_pathways_Thal_MD,mechanical,0.044,"[-0.002,  0.089]",0.023,1.9,498,0.058,Stim level
pain_pathways_Thal_MD,mechanical,0.08,"[  0.039,  0.122]",0.021,3.81,472.3,0,Placebo
pain_pathways_Thal_VPLM_L,thermal,0.025,"[-0.007,  0.056]",0.016,1.55,1056,0.121,Stim level
pain_pathways_Thal_VPLM_L,thermal,0.025,"[ -0.006,  0.056]",0.016,1.59,223.9,0.114,Placebo
pain_pathways_Thal_VPLM_L,mechanical,0.009,"[-0.028,  0.045]",0.018,0.47,341.7,0.637,Stim level
pain_pathways_Thal_VPLM_L,mechanical,0.068,"[  0.036,    0.1]",0.016,4.2,329.3,0,Placebo
pain_pathways_Thal_VPLM_R,thermal,0.024,"[-0.002,  0.049]",0.013,1.81,675.7,0.072,Stim level
pain_pathways_Thal_VPLM_R,thermal,0.015,"[ -0.008,  0.037]",0.011,1.31,199.5,0.193,Placebo
pain_pathways_Thal_VPLM_R,mechanical,0.013,"[-0.014,   0.04]",0.014,0.94,1076.3,0.35,Stim level
pain_pathways_Thal_VPLM_R,mechanical,0.036,"[  0.012,  0.061]",0.012,2.93,389.4,0.004,Placebo
pain_pathways_aMCC_MPFC,thermal,0.067,"[ 0.034,    0.1]",0.017,3.97,763.9,0,Stim level
pain_pathways_aMCC_MPFC,thermal,0.001,"[ -0.027,   0.03]",0.015,0.1,223.5,0.924,Placebo
pain_pathways_aMCC_MPFC,mechanical,0.055,"[ 0.021,  0.089]",0.017,3.18,462.4,0.002,Stim level
pain_pathways_aMCC_MPFC,mechanical,0.041,"[  0.009,  0.072]",0.016,2.53,398.2,0.012,Placebo
pain_pathways_dpIns_L,thermal,0.032,"[ 0.004,  0.059]",0.014,2.29,589.2,0.023,Stim level
pain_pathways_dpIns_L,thermal,0.006,"[ -0.018,   0.03]",0.012,0.52,246.1,0.602,Placebo
pain_pathways_dpIns_L,mechanical,0.026,"[-0.005,  0.058]",0.016,1.66,750.9,0.098,Stim level
pain_pathways_dpIns_L,mechanical,0.056,"[  0.029,  0.083]",0.014,4.11,498.8,0,Placebo
pain_pathways_dpIns_R,thermal,0.047,"[ 0.015,  0.078]",0.016,2.9,966.5,0.004,Stim level
pain_pathways_dpIns_R,thermal,0.011,"[ -0.017,  0.039]",0.014,0.77,226.7,0.444,Placebo
pain_pathways_dpIns_R,mechanical,0.057,"[ 0.022,  0.092]",0.018,3.18,871.8,0.002,Stim level
pain_pathways_dpIns_R,mechanical,0.061,"[   0.03,  0.093]",0.016,3.78,381.2,0,Placebo
siips,thermal,76.943,"[45.279,108.608]",16.142,4.77,1408.3,0,Stim level
siips,thermal,-54.827,"[-82.956,-26.698]",14.31,-3.83,417.4,0,Placebo
siips,mechanical,85.903,"[50.294,121.513]",18.074,4.75,233,0,Stim level
siips,mechanical,-51.109,"[-84.606,-17.612]",17.018,-3,286.1,0.003,Placebo
siipsneg_L_ITG,thermal,-0.149,"[-0.329,  0.032]",0.092,-1.62,680.1,0.106,Stim level
siipsneg_L_ITG,thermal,-0.142,"[ -0.296,  0.011]",0.078,-1.83,505.8,0.069,Placebo
siipsneg_L_ITG,mechanical,0.02,"[-0.181,  0.221]",0.102,0.2,1572.1,0.846,Stim level
siipsneg_L_ITG,mechanical,-0.06,"[  -0.24,   0.12]",0.091,-0.66,214.9,0.511,Placebo
siipsneg_L_NAc,thermal,0.186,"[-0.518,   0.89]",0.359,0.52,810,0.604,Stim level
siipsneg_L_NAc,thermal,0.097,"[ -0.465,  0.659]",0.286,0.34,851.7,0.735,Placebo
siipsneg_L_NAc,mechanical,-0.758,"[ -1.52,  0.005]",0.388,-1.95,806.9,0.052,Stim level
siipsneg_L_NAc,mechanical,-0.94,"[ -1.588, -0.291]",0.33,-2.85,466.6,0.005,Placebo
siipsneg_L_STG,thermal,0.088,"[-0.537,  0.714]",0.319,0.28,690.3,0.782,Stim level
siipsneg_L_STG,thermal,-0.521,"[ -1.024, -0.018]",0.256,-2.03,1145,0.043,Placebo
siipsneg_L_STG,mechanical,-0.26,"[-0.939,  0.419]",0.346,-0.75,1213.8,0.453,Stim level
siipsneg_L_STG,mechanical,-1.342,"[  -1.92, -0.764]",0.294,-4.56,749.2,0,Placebo
siipsneg_R_LG,thermal,1.023,"[-4.574,   6.62]",2.849,0.36,528.3,0.72,Stim level
siipsneg_R_LG,thermal,-5.147,"[-10.402,  0.108]",2.666,-1.93,211.4,0.055,Placebo
siipsneg_R_LG,mechanical,-3.566,"[-9.191,   2.06]",2.865,-1.25,664.7,0.214,Stim level
