outcome,modality,estimate_yint,SE_yint,t_yint,DF_yint,p_yint,lower_yint,upper_yint,direction,significance
gray_matter,thermal,0.105003405670836,0.0752077952192584,1.39617715643321,140.804185755841,0.164858453972882,-0.0436790425875793,0.253685853929251,+,n.s.
white_matter,thermal,-0.0124464998267949,0.0298246591258547,-0.417322450334567,112.114526428312,0.677240627432011,-0.0715395796305159,0.0466465799769261,-,n.s.
csf,thermal,-0.030746355220011,0.0602300835181308,-0.510481696588642,249.508973433866,0.610165358961712,-0.14937054347092,0.0878778330308983,-,n.s.
nps,thermal,8.0304912056043,1.3772175066092,5.83095347471722,106.187552869438,6.00795080352157e-08,5.30007922403738,10.7609031871712,+,***
siips,thermal,799.686084237882,114.321153934673,6.99508408299353,302.341931451676,1.70876646166107e-11,574.72019911327,1024.65196936249,+,***
siipspos_dmPFC,thermal,4.51849396352885,6.46361917220891,0.69906562301143,272.715985450212,0.485106781925882,-8.20643794049057,17.2434258675483,+,n.s.
siipspos_R_MTG,thermal,-0.230532565664252,0.390210714598165,-0.590789942561294,226.335214342491,0.555250651432442,-0.999442986315254,0.53837785498675,-,n.s.
siipsneg_R_LG,thermal,55.4635522949861,19.2336617323721,2.88367098614591,199.454180726221,0.00436214715404049,17.5361355567996,93.3909690331727,+,**
siipsneg_L_STG,thermal,0.700748407528737,2.13288515777514,0.328544837481875,128.757873250226,0.743033471305046,-3.51929224926758,4.92078906432506,+,n.s.
siipsneg_L_NAc,thermal,-2.93207472867943,2.29395050770185,-1.27817697846361,189.502420213896,0.202750389096066,-7.45703290743324,1.59288345007438,-,n.s.
siipsneg_R_TP,thermal,2.07038010395799,3.20517556795743,0.645949047114879,145.970516524408,0.519326545818421,-4.26416539410893,8.40492560202492,+,n.s.
siipsneg_L_ITG,thermal,0.679321065279255,0.630590879716827,1.07727702244014,391.603112809577,0.282019696083303,-0.560446003246289,1.9190881338048,+,n.s.
siipsneg_mid_precen,thermal,0.532577830264272,0.591309852971155,0.900674709863581,354.416791613979,0.36837289799007,-0.63033940926263,1.69549506979117,+,n.s.
siipsneg_vmpfc,thermal,29.36365291682,14.9022240636635,1.97042084398785,347.200467744147,0.049584344377898,0.0536601546703501,58.6736456789697,+,*
suppress_siipsneg_R_NAc,thermal,-0.914587050211645,0.304290504699482,-3.00563782335204,120.193177075943,0.00322688604540677,-1.51705121046075,-0.312122889962534,-,**
suppress_siipsneg_L_dlPFC,thermal,-29.3878084165386,13.9521955938171,-2.10632141865627,211.130033457112,0.0363576421908847,-56.8912643306509,-1.88435250242636,-,*
suppress_siipsneg_R_dlPFC,thermal,-7.08656018595876,3.59512882822352,-1.97115611833595,539.994175724852,0.0492162055295893,-14.1487119791081,-0.0244083928094483,-,*
suppress_siipsneg_R_S2,thermal,-4.14374870988257,1.4234339443116,-2.91109308334401,345.637795453553,0.00383536263026096,-6.94343137563678,-1.34406604412836,-,**
suppress_siipsneg_R_SMC,thermal,-34.8481783964495,9.9840237176325,-3.49039419196342,307.353090566972,0.000552894157308748,-54.4938650875925,-15.2024917053066,-,***
suppress_siipsneg_L_Precun,thermal,2.99704130137201,2.94767986119504,1.01674586200041,222.765626179377,0.310377334757357,-2.81186377654727,8.80594637929129,+,n.s.
pain_pathways_Thal_VPLM_R,thermal,0.0957990819545573,0.0942183754397412,1.01677705126456,117.197197777875,0.311353956969592,-0.0907921929614333,0.282390356870548,+,n.s.
pain_pathways_Thal_VPLM_L,thermal,0.124617860615233,0.116472174091562,1.0699367603224,232.641524778721,0.28575659683494,-0.104857183181368,0.354092904411833,+,n.s.
pain_pathways_Thal_MD,thermal,0.377682869856815,0.15669482686032,2.41030847938258,180.194812975069,0.0169446435435716,0.0684900700605624,0.686875669653068,+,*
pain_pathways_dpIns_L,thermal,0.163284581248968,0.100281891782065,1.62825589293649,129.936894719945,0.105892945294654,-0.0351120536609587,0.361681216158894,+,n.s.
pain_pathways_dpIns_R,thermal,0.314882688969242,0.110306138251509,2.85462526347607,230.543308063589,0.00470136727405812,0.0975457090597747,0.532219668878708,+,**
pain_pathways_aMCC_MPFC,thermal,0.511773279980838,0.114502896277972,4.46952257642844,87.9881323095882,2.32531653501233e-05,0.284222406947284,0.739324153014393,+,***
canlab2018_mean_Ctx_8C_L,thermal,0.101012252391163,0.101950918783538,0.99079295798827,220.962130760046,0.322870417271305,-0.0999083496721953,0.301932854454522,+,n.s.
canlab2018_mean_Ctx_a47r_R,thermal,0.115019443265725,0.120494801593109,0.954559381359264,328.422338189579,0.340502621958698,-0.122019552069069,0.35205843860052,+,n.s.
canlab2018_mean_Ctx_p9_46v_R,thermal,0.387391726231987,0.119953923905289,3.2295044098587,243.451916749917,0.0014108238671664,0.151111753469525,0.623671698994449,+,**
canlab2018_mean_Ctx_46_L,thermal,0.266575013217885,0.108195668279112,2.46382334392724,269.6033919353,0.0143709740308684,0.0535591584546949,0.479590867981075,+,*
canlab2018_mean_Ctx_a10p_R,thermal,0.0826189673925039,0.123489688628574,0.669035352749174,513.581875330494,0.503773546986129,-0.159988106206713,0.32522604099172,+,n.s.
canlab2018_mean_Ctx_11l_L,thermal,-0.0235772939211031,0.107628998010368,-0.219060795482198,178.39377516934,0.826853118074433,-0.235967092815344,0.188812504973138,-,n.s.
canlab2018_mean_Ctx_11l_R,thermal,0.0414716087374767,0.103261004062766,0.401619266768591,164.648341292409,0.68848505533413,-0.16241484653761,0.245358064012564,+,n.s.
