outcome,modality,estimate_yint,SE_yint,t_yint,DF_yint,p_yint,lower_yint,upper_yint,direction,significance
gray_matter,thermal,0.0482573385495751,0.0345639229231602,1.3961765467669,140.804822927992,0.164858627232559,-0.0200739888757285,0.116588665974879,+,n.s.
white_matter,thermal,-0.014128181593079,0.0338543401606411,-0.417322609923567,112.223195140883,0.677239739290561,-0.0812047602171403,0.0529483970309824,-,n.s.
csf,thermal,-0.0168920472717383,0.0330903867607893,-0.510482013820238,249.508661278318,0.610165137656601,-0.0820641350899475,0.048280040546471,-,n.s.
nps,thermal,0.197955426939153,0.0339490544724078,5.83095553073628,106.186666058714,6.00799459071766e-08,0.130649490461569,0.265261363416737,+,***
siips,thermal,0.22934995970982,0.0327873060814811,6.99508398585273,302.332056627303,1.70885527950304e-11,0.164829737093075,0.293870182326565,+,***
siipspos_dmPFC,thermal,0.0228916702372256,0.0327460858062634,0.69906584782866,272.718046151329,0.485106637159066,-0.0415755712372547,0.087358911711706,+,n.s.
siipspos_R_MTG,thermal,-0.0200260368203482,0.0338970629940851,-0.590789733725389,226.332313447316,0.555250798682487,-0.0868202220803134,0.0467681484396169,-,n.s.
siipsneg_R_LG,thermal,0.0931921450877308,0.0323171888158267,2.88367115156043,199.450391647547,0.00436215336481105,0.0294649335346345,0.156919356640827,+,**
siipsneg_L_STG,thermal,0.0108317004753534,0.0329686590514092,0.328545375729815,128.759353316047,0.743033059231036,-0.0543987531753697,0.0760621541260765,+,n.s.
siipsneg_L_NAc,thermal,-0.0411649875688677,0.0322060348191589,-1.27817621138443,189.514905143021,0.202750556086967,-0.104693341154884,0.0223633660171487,-,n.s.
siipsneg_R_TP,thermal,0.0228596416295496,0.0353892384689909,0.645948955628982,145.969794735325,0.519326609909165,-0.0470818469834686,0.0928011302425679,+,n.s.
siipsneg_L_ITG,thermal,0.0346854935447622,0.032197396495249,1.07727634282108,391.601858799096,0.282020001352923,-0.0286158854432365,0.0979868725327608,+,n.s.
siipsneg_mid_precen,thermal,0.0287336922356466,0.0319023694697165,0.900675802871703,354.417529764384,0.368372316208512,-0.0340080581122041,0.0914754425834973,+,n.s.
siipsneg_vmpfc,thermal,0.0633385107601311,0.0321446555915486,1.970421197382,347.206026682684,0.0495842909977191,0.000115761864232275,0.12656125965603,+,*
suppress_siipsneg_R_NAc,thermal,-0.0973711387703214,0.0323961597863771,-3.00563830442851,120.193426397079,0.00322688004427363,-0.161512229234502,-0.0332300483061412,-,**
suppress_siipsneg_L_dlPFC,thermal,-0.0661558747721565,0.0314082246658775,-2.10632327920239,211.12971763199,0.0363574806065072,-0.128069766681059,-0.00424198286325432,-,*
suppress_siipsneg_R_dlPFC,thermal,-0.0614190595122989,0.0311589086743799,-1.97115567024978,539.995030828458,0.0492162561075467,-0.122626585723077,-0.000211533301521065,-,*
suppress_siipsneg_R_S2,thermal,-0.0971085478251792,0.0333580927741184,-2.91109412287872,345.640587307457,0.0038353482618243,-0.162718948521997,-0.0314981471283612,-,**
suppress_siipsneg_R_SMC,thermal,-0.109261984868859,0.0313036303135439,-3.49039340723319,307.348821649611,0.000552896741477404,-0.170858527965501,-0.0476654417722167,-,***
suppress_siipsneg_L_Precun,thermal,0.0356562413155979,0.0350689549949158,1.016746615939,222.763836843036,0.31037698565764,-0.0334531088436351,0.104765591474831,+,n.s.
pain_pathways_Thal_VPLM_R,thermal,0.035054828368453,0.0344764204009745,1.01677691479427,117.200999734785,0.311353953833304,-0.0332226921297543,0.10333234886666,+,n.s.
pain_pathways_Thal_VPLM_L,thermal,0.0348201783942478,0.0325441421332661,1.06993689529936,232.645134491583,0.285756519018908,-0.0292987229116536,0.0989390797001493,+,n.s.
